class,release,loc,comment density,wcm,number of attributes,fan-in,fan-out,cbo,normalized lcom,rfc,creation age,last update age,total loc touched,release loc touched,normalized total churn,normalized release churn,total number of commits,release number of commits,total number of authors,release number of authors,total number of fixes,release number of fixes,average commit change density,number of smells,buggy
storm-core\src\jvm\backtype\storm\security\auth\AuthUtils.java,1,69,0.1594203,12,4,10,11,3,1.0,12,1,0,81,81,1.173913,1.173913,1,1,1,1,0,0,1.173913,16,true
storm-core\src\jvm\storm\trident\state\CombinerValueUpdater.java,1,15,0.0,3,2,2,3,2,0.0,1,1,0,19,19,1.2666667,1.2666667,1,1,1,1,0,0,1.2666667,2,false
storm-core\src\jvm\storm\trident\operation\Function.java,1,5,0.0,1,0,6,3,3,0.0,0,1,0,7,7,1.4,1.4,1,1,1,1,0,0,1.4,0,false
storm-core\src\jvm\storm\trident\operation\impl\ReducerAggregatorImpl.java,1,29,0.0,6,1,1,7,7,0.5,3,1,0,39,39,1.3448275,1.3448275,1,1,1,1,0,0,1.3448275,2,false
storm-core\src\jvm\storm\trident\spout\ISpoutPartition.java,1,6,0.5,1,0,4,0,0,0.0,0,1,0,8,8,1.3333334,1.3333334,1,1,1,1,0,0,1.3333334,0,false
storm-core\src\jvm\backtype\storm\serialization\SerializableSerializer.java,1,39,0.0,4,0,1,5,5,0.0,8,1,0,44,44,1.1282052,1.1282052,1,1,1,1,0,0,1.1282052,0,false
storm-core\src\jvm\backtype\storm\generated\SubmitOptions.java,1,273,0.12087912,55,4,12,23,10,0.8333333,40,1,0,340,340,1.2454213,1.2454213,1,1,1,1,0,0,1.2454213,35,false
storm-core\src\jvm\backtype\storm\utils\ZookeeperAuthInfo.java,1,26,0.0,5,2,3,1,1,0.0,2,1,0,31,31,1.1923077,1.1923077,1,1,1,1,0,0,1.1923077,0,false
storm-core\src\jvm\backtype\storm\testing\TrackedTopology.java,1,13,0.0,2,0,0,2,1,0.0,2,1,0,17,17,1.3076923,1.3076923,1,1,1,1,0,0,1.3076923,0,false
storm-core\src\jvm\storm\trident\tuple\ConsList.java,1,22,0.0,4,2,2,0,0,0.16666667,2,1,0,27,27,1.2272727,1.2272727,1,1,1,1,0,0,1.2272727,1,false
storm-core\src\jvm\backtype\storm\transactional\TransactionalSpoutCoordinator.java,1,164,0.036585364,1,0,0,2,2,0.0,1,1,0,200,200,1.2195122,1.2195122,1,1,1,1,0,0,1.2195122,4,false
storm-core\src\jvm\backtype\storm\utils\TimeCacheMap.java,1,122,0.09836066,20,5,3,3,3,0.67999995,12,1,0,144,144,1.1803279,1.1803279,1,1,1,1,0,0,1.1803279,3,false
storm-core\src\jvm\storm\trident\state\ITupleCollection.java,1,6,0.16666667,1,0,5,0,0,0.0,0,1,0,9,9,1.5,1.5,1,1,1,1,0,0,1.5,1,false
storm-core\src\jvm\backtype\storm\serialization\IKryoFactory.java,1,20,0.6,4,0,2,1,1,0.0,0,1,0,23,23,1.15,1.15,1,1,1,1,0,0,1.15,0,false
storm-core\src\jvm\storm\trident\testing\MemoryBackingMap.java,1,25,0.0,4,1,0,2,1,0.0,6,1,0,30,30,1.2,1.2,1,1,1,1,0,0,1.2,0,false
storm-core\src\jvm\storm\trident\state\JSONOpaqueSerializer.java,1,29,0.0,4,0,0,3,3,0.0,5,1,0,35,35,1.2068965,1.2068965,1,1,1,1,0,0,1.2068965,0,false
storm-core\src\jvm\backtype\storm\transactional\ICommitter.java,1,6,0.6666667,0,0,3,0,0,0.0,0,1,0,9,9,1.5,1.5,1,1,1,1,0,0,1.5,0,false
storm-core\src\jvm\backtype\storm\testing\AckFailDelegate.java,1,6,0.0,2,0,3,0,0,0.0,0,1,0,8,8,1.3333334,1.3333334,1,1,1,1,0,0,1.3333334,2,false
storm-core\src\jvm\backtype\storm\serialization\IKryoDecorator.java,1,5,0.0,1,0,2,1,1,0.0,0,1,0,6,6,1.2,1.2,1,1,1,1,0,0,1.2,0,false
storm-core\src\jvm\backtype\storm\generated\DRPCRequest.java,1,350,0.071428575,11,3,0,1,1,0.6111111,5,1,0,425,425,1.2142857,1.2142857,1,1,1,1,0,0,1.2142857,49,false
storm-core\src\jvm\backtype\storm\scheduler\INimbus.java,1,14,0.42857143,5,0,1,4,4,0.0,0,1,0,22,22,1.5714285,1.5714285,1,1,1,1,0,0,1.5714285,0,false
storm-netty\src\jvm\backtype\storm\messaging\netty\MessageEncoder.java,1,16,0.0,3,0,2,7,6,0.0,4,1,0,208,208,13.0,13.0,6,6,1,1,0,0,2.1666667,0,false
storm-core\src\jvm\storm\trident\testing\LRUMemoryMapState.java,1,110,0.0,8,2,0,7,5,0.5,10,1,0,139,139,1.2636364,1.2636364,2,2,1,1,1,1,0.6318182,2,false
storm-core\src\jvm\storm\trident\spout\IBatchSpout.java,1,14,0.0,6,0,5,6,3,0.0,0,1,0,16,16,1.1428572,1.1428572,1,1,1,1,0,0,1.1428572,0,false
storm-core\src\jvm\backtype\storm\topology\IBasicBolt.java,1,13,0.3846154,3,0,7,4,4,0.0,0,1,0,16,16,1.2307693,1.2307693,1,1,1,1,0,0,1.2307693,0,false
storm-core\src\jvm\backtype\storm\testing\KeyedCountingBatchBolt.java,1,37,0.0,5,3,1,10,8,0.5,7,1,0,44,44,1.1891892,1.1891892,1,1,1,1,0,0,1.1891892,0,false
storm-core\src\jvm\storm\trident\operation\Filter.java,1,5,0.0,1,0,4,2,2,0.0,0,1,0,8,8,1.6,1.6,1,1,1,1,0,0,1.6,0,false
storm-core\src\jvm\backtype\storm\generated\TopologyInfo.java,1,789,0.058301646,204,16,15,22,11,0.88310194,92,1,0,918,918,1.163498,1.163498,1,1,1,1,0,0,1.163498,122,false
storm-core\src\jvm\backtype\storm\testing\TestPlannerBolt.java,1,20,0.0,4,0,1,7,7,0.0,2,1,0,28,28,1.4,1.4,1,1,1,1,0,0,1.4,2,false
